Plugin id,Path,Community,Needs to be split?,Third Party Repo URL,Custom URL,Version in third party repo,Version in our repo,Third Party Commit Hash,Last commit hash on monorepo,In sync,,URL
filter_ally,/filter/ally,Yes,,https://github.com/anthology-ally/moodle-filter_ally,,2026012850,2025050300,1c043400130af81c27e86e0259cccf5ebabc1d66,,No,,https://github.com/anthology-ally/moodle-filter_ally
filter_kaltura,/filter/kaltura,No,,https://github.com/kaltura/moodle_plugin,,2021051704,2024100700,cafcfb7f8d602f523043c5201ab5b409f9608fec,,No,,https://github.com/kaltura/moodle_plugin
filter_tidy,/filter/tidy,Yes,,Core?,,,2022112800,,,No,,Core?
filter_wiris,/filter/wiris,Yes,,https://github.com/wiris/moodle-filter_wiris,,2025102000,2025102000,6e43714514847b057463a74966694eedc2dbf5c7,0c3f6fab50b3506eab9dabc43ca7f3a292f2b5be,Yes,,https://github.com/wiris/moodle-filter_wiris
atto_cloze,/lib/editor/atto/plugins/cloze,Yes,,https://github.com/dthies/moodle-atto_cloze,,2017072809,2017072808,7c397a8a4b264988f4df14de5e7089824320bc45,,No,,https://github.com/dthies/moodle-atto_cloze
atto_count,/lib/editor/atto/plugins/count,Yes,,https://github.com/damyon/moodle-atto_count,,2018062700,2018062700,a91997b6c249ded62f1f38da1beed05e4d66118a,72ce3de1200e1624417a8ad96677b109e6ecadfc,Yes,,https://github.com/damyon/moodle-atto_count
atto_fontfamily,/lib/editor/atto/plugins/fontfamily,Yes,,https://github.com/projectestac/moodle-atto_fontfamily,,2024110400,2024110400,ea6a85c284408b630302dd69425c98457e770cb4,ea6a85c284408b630302dd69425c98457e770cb4,Yes,,https://github.com/projectestac/moodle-atto_fontfamily
atto_fontsize,/lib/editor/atto/plugins/fontsize,Yes,,https://github.com/andrewnicols/moodle-atto_fontsize,,2023091901,2023091901,23858bb6670ab3fd02d8caab074b33df105cb559,23858bb6670ab3fd02d8caab074b33df105cb559,Yes,,https://github.com/andrewnicols/moodle-atto_fontsize
atto_fullscreen,/lib/editor/atto/plugins/fullscreen,Yes,,https://github.com/dthies/moodle-atto_fullscreen,,2015122019,2015122019,a4d767f971fd350c4d4d5f015860178293ec6a96,,Yes,,https://github.com/dthies/moodle-atto_fullscreen
atto_kalturamedia,/lib/editor/atto/plugins/kalturamedia,No,,https://github.com/kaltura/moodle_plugin,,2021051704,2024100700,cafcfb7f8d602f523043c5201ab5b409f9608fec,,No,,https://github.com/kaltura/moodle_plugin
atto_morefontcolors,/lib/editor/atto/plugins/morefontcolors,Yes,,https://github.com/ndunand/moodle-atto_morefontcolors,,2021062100,2021062100,872a60ca4f82c7c83854883bbe3b4e8dc5e2b56b,872a60ca4f82c7c83854883bbe3b4e8dc5e2b56b,Yes,,https://github.com/ndunand/moodle-atto_morefontcolors
atto_panoptobutton,/lib/editor/atto/plugins/panoptobutton,No,,https://github.com/lucisgit/moodle-repository_panopto,,2025081500,2024070900,1acfa2d30c4d3fa6a142a1ba166928a7be905cb6,,No,,https://github.com/lucisgit/moodle-repository_panopto
